Unnamed: 0,parse_count,restaurant_name,rating_review,sample,review_id,title_review,review_preview,review_full,date,city,url_restaurant,author_id,negative,neutral,positive,overall_sentiment,blob_polarity,blob_subjectivity,sentiment_shift,review_length,num_stop_words,stop_words_ratio,num_exclamations,num_punctuation,url_present,keyword_count,emotion_anticipation,emotion_joy,emotion_positive,emotion_surprise,emotion_trust,emotion_anger,emotion_disgust,emotion_fear,emotion_negative,emotion_sadness,word_count,unique_word_count,mean_word_length,hashtag_count,mention_count,clean_text,predicted_label,predicted_rating
37084,37085,Pizzeria_Vesuvio_Hortaleza,5,Positive,review_592330185,The best pizza in Madrid! ,The best local pizza joint! It’s small with limited tables/ chairs. The staff is super friendly. If you’re in Madrid don’t forgot to visit!,The best local pizza joint! It’s small with limited tables/ chairs. The staff is super friendly. If you’re in Madrid don’t forgot to visit!,2018-07-01,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1625680-Reviews-or30-Pizzeria_Vesuvio_Hortaleza-Madrid.html,UID_31295,0.056,0.592,0.352,0.8997,0.2467757936507936,0.3349206349206349,0.905,139,7,0.0503597122302158,2,5,False,10,0.0909090909090909,0.0909090909090909,0.2727272727272727,0.0,0.1818181818181818,0.0909090909090909,0.0,0.0,0.1818181818181818,0.0909090909090909,24,23,4.833333333333333,0,0,best local pizza joint small limit tabl chair staff super friendli madrid forgot visit,very good review,5
37085,37086,Pizzeria_Vesuvio_Hortaleza,5,Positive,review_590283115,Yummy pizza,We visited on a recent trip to Madrid and ordered a pizza each and two beers for a very reasonable €21The pizzas were made there and then in front of us and we’re very yummyThe lady who served us was very polite and...,We visited on a recent trip to Madrid and ordered a pizza each and two beers for a very reasonable €21 The pizzas were made there and then in front of us and we’re very yummy The lady who served us was very polite and friendly.  A lovely little place for yummy pizza,2018-06-24,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1625680-Reviews-or30-Pizzeria_Vesuvio_Hortaleza-Madrid.html,UID_31296,0.0,0.777,0.223,0.9336,0.1925,0.4828571428571428,0.0129,266,27,0.1015037593984962,0,1,False,16,0.1666666666666666,0.1666666666666666,0.25,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0833333333333333,53,40,4.018867924528302,0,0,visit recent trip madrid order pizza two beer reason pizza made front us yummi ladi serv us polit friendli love littl place yummi pizza,very good review,5
37086,37087,Pizzeria_Vesuvio_Hortaleza,5,Positive,review_589886656,tremendous pizza,"march 2017 i stayed in a flat above this place for 4 days and let me tell you, all i could smell all day and all night is the delicious aroma of pizza wafting up through the floors and windows from this place.  i went...","march 2017 i stayed in a flat above this place for 4 days and let me tell you, all i could smell all day and all night is the delicious aroma of pizza wafting up through the floors and windows from this place. i went down every day and got some pizza. it was always way busy in there. its also a great place to hang out and drink beer while watching all the people come and eat or take away. one of the greatest little pizza joints in the world (yes, there, i said it)",2018-06-22,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1625680-Reviews-or30-Pizzeria_Vesuvio_Hortaleza-Madrid.html,UID_31297,0.0,0.862,0.138,0.9403,0.3164930555555555,0.5079861111111111,0.3391,468,44,0.094017094017094,0,9,False,30,0.0,0.2,0.5,0.0,0.0,0.1,0.1,0.0,0.1,0.0,96,73,3.8854166666666665,0,0,march stay flat place day let tell could smell day night delici aroma pizza waft floor window place went everi day got pizza alway way busi also great place hang drink beer watch peopl come eat take away one greatest littl pizza joint world ye said,good review,4
37087,37088,Pizzeria_Vesuvio_Hortaleza,5,Positive,review_582701522,Top pizza!,"Wonderful pizza and really friendly staff who made us feel right at home. Would recommend to anyone looking for a great pizza, great service and reasonable prices.","Wonderful pizza and really friendly staff who made us feel right at home. Would recommend to anyone looking for a great pizza, great service and reasonable prices.",2018-05-25,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1625680-Reviews-or30-Pizzeria_Vesuvio_Hortaleza-Madrid.html,UID_8589,0.0,0.551,0.449,0.9577,0.5767857142857142,0.6892857142857142,0.0917999999999999,163,7,0.0429447852760736,0,3,False,18,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,27,25,5.074074074074074,0,0,wonder pizza realli friendli staff made us feel right home would recommend anyon look great pizza great servic reason price,very good review,5
37088,37089,Pizzeria_Vesuvio_Hortaleza,5,Positive,review_580663733,Give it a try! You will love it!,"I found this place thanks to maps.me. At the beginning I wasn’t sure about getting in, bust after I read it’s reviews on TripAdvisor I decided to give it a try. Best decision ever! I had the best lasagna ever! The pizzas also looked pretty...","I found this place thanks to maps.me. At the beginning I wasn’t sure about getting in, bust after I read it’s reviews on TripAdvisor I decided to give it a try.  Best decision ever! I had the best lasagna ever! The pizzas also looked pretty good.  If you are in Madrid with a backpackers budget, I would definitely recommend you this place. Is it very cheap for the big product quality you get.  Thanks guys! I will definitely come back!",2018-05-16,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1625680-Reviews-or30-Pizzeria_Vesuvio_Hortaleza-Madrid.html,UID_15841,0.0,0.689,0.311,0.9844,0.3683333333333333,0.4582407407407407,0.2232,437,35,0.080091533180778,4,12,False,26,0.125,0.1875,0.25,0.0625,0.3125,0.0,0.0,0.0,0.0625,0.0,80,64,4.4375,0,0,found place thank map begin sure get bust read review tripadvisor decid give tri best decis ever best lasagna ever pizza also look pretti good madrid backpack budget would definit recommend place cheap big product qualiti get thank guy definit come back,very good review,5
37089,37090,Pizzeria_Vesuvio_Hortaleza,5,Positive,review_580158439,Great authentic Pizza ,Great food very high quality Materials We was Sitting on the bar and eat Gourmet Pizza  with Gorgonzola cheese and Basil very tasty and reasonable price 8.80 euro Very recommend,Great food very high quality Materials We was Sitting on the bar and eat Gourmet Pizza  with Gorgonzola cheese and Basil very tasty and reasonable price 8.80 euro Very recommend,2018-05-14,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1625680-Reviews-or30-Pizzeria_Vesuvio_Hortaleza-Madrid.html,UID_31298,0.0,0.802,0.198,0.7841,0.3216,0.5304,0.0,177,11,0.0621468926553672,0,1,False,12,0.0,0.1428571428571428,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,30,27,4.9,0,0,great food high qualiti materi sit bar eat gourmet pizza gorgonzola chees basil tasti reason price euro recommend,very good review,5
37090,37091,Pizzeria_Vesuvio_Hortaleza,5,Positive,review_556565490,Very delicious pizzas,The pizzas are large and very tasty. the staff are helpful and friendly. Very close to Gran Via. I advise. you will not regret it.,The pizzas are large and very tasty. the staff are helpful and friendly. Very close to Gran Via. I advise. you will not regret it.,2018-01-26,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1625680-Reviews-or40-Pizzeria_Vesuvio_Hortaleza-Madrid.html,UID_31299,0.0,0.725,0.275,0.8091,0.2473214285714285,0.3821428571428572,0.4405,130,13,0.1,0,5,False,6,0.0833333333333333,0.1666666666666666,0.3333333333333333,0.0,0.25,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,25,23,4.24,0,0,pizza larg tasti staff help friendli close gran via advis regret,good review,4
37091,37092,Pizzeria_Vesuvio_Hortaleza,5,Positive,review_556495699,Great pizza!,Pizza and staff are wonderful!  Small quaint restaurant with fresh handmade pizza made right in front of you.  Good Spanish beer on tap.,Pizza and staff are wonderful!  Small quaint restaurant with fresh handmade pizza made right in front of you.  Good Spanish beer on tap.,2018-01-26,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1625680-Reviews-or40-Pizzeria_Vesuvio_Hortaleza-Madrid.html,UID_31300,0.0,0.685,0.315,0.8478,0.3392857142857142,0.5059523809523809,0.2077,136,6,0.0441176470588235,1,3,False,12,0.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,23,23,4.869565217391305,0,0,pizza staff wonder small quaint restaur fresh handmad pizza made right front good spanish beer tap,good review,4
37092,37093,Pizzeria_Vesuvio_Hortaleza,5,Positive,review_554980821,Wonderful Pizza and Friendly Staff,"My family, including our two little ones, visited this place for dinner. The pizza was fresh and delicious and the owner was kind and generous. He even gave us a complimentary beverage and sent our daughter home with balloons! Wonderful experience.","My family, including our two little ones, visited this place for dinner. The pizza was fresh and delicious and the owner was kind and generous. He even gave us a complimentary beverage and sent our daughter home with balloons! Wonderful experience.",2018-01-20,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1625680-Reviews-or40-Pizzeria_Vesuvio_Hortaleza-Madrid.html,UID_31301,0.0,0.641,0.359,0.9617,0.5145833333333333,0.7333333333333334,0.4713,248,16,0.064516129032258,1,6,False,13,0.0,0.3076923076923077,0.5384615384615384,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,41,36,5.073170731707317,0,0,famili includ two littl one visit place dinner pizza fresh delici owner kind gener even gave us complimentari beverag sent daughter home balloon wonder experi,very good review,5
37093,37094,Pizzeria_Vesuvio_Hortaleza,5,Positive,review_553995187,Best pizza in Madrid!,I ordered delivery from Pizzeria Vesuvio and it was spectacular! The pizza and the pasta were both delicious. I would definitely order from them again or go eat there.,I ordered delivery from Pizzeria Vesuvio and it was spectacular! The pizza and the pasta were both delicious. I would definitely order from them again or go eat there.,2018-01-15,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1625680-Reviews-or40-Pizzeria_Vesuvio_Hortaleza-Madrid.html,UID_554,0.0,0.801,0.199,0.7712,0.5833333333333334,0.7999999999999999,0.37095,167,15,0.0898203592814371,1,3,False,8,0.2857142857142857,0.1428571428571428,0.4285714285714285,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,29,26,4.793103448275862,0,0,order deliveri pizzeria vesuvio spectacular pizza pasta delici would definit order go eat,very good review,5
